Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country/Region;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
11;CA-2018-115812;09/06/2018;14/06/2018;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1.706.184;9;0.2;853.092
12;CA-2018-115812;09/06/2018;14/06/2018;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911.424;4;0.2;683.568
13;CA-2021-114412;15/04/2021;20/04/2021;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15.552;3;0.2;54.432
14;CA-2020-161389;05/12/2020;10/12/2020;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407.976;3;0.2;1.325.922
15;US-2019-118983;22/11/2019;26/11/2019;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;5;0.8;-123.858
16;US-2019-118983;22/11/2019;26/11/2019;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2.544;3;0.8;-3.816
17;CA-2018-105893;11/11/2018;18/11/2018;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665.88;6;0;133.176
18;CA-2018-167164;13/05/2018;15/05/2018;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5;2;0;9.99
19;CA-2018-143336;27/08/2018;01/09/2018;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;8.56;2;0;24.824
20;CA-2018-143336;27/08/2018;01/09/2018;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213.48;3;0.2;16.011
21;CA-2018-143336;27/08/2018;01/09/2018;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22.72;4;0.2;7.384
22;CA-2020-137330;09/12/2020;13/12/2020;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19.46;7;0;50.596
23;CA-2020-137330;09/12/2020;13/12/2020;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60.34;7;0;156.884
24;US-2021-156909;16/07/2021;18/07/2021;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71.372;2;0.3;-10.196
25;CA-2019-106320;25/09/2019;30/09/2019;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044.63;3;0;2.402.649
26;CA-2020-121755;16/01/2020;20/01/2020;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11.648;2;0.2;42.224
27;CA-2020-121755;16/01/2020;20/01/2020;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57;3;0;117.741
28;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;7;0.5;-16.650.522
29;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.618;2;0.7;-70.532
30;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124.2;3;0.2;15.525
31;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3.264;2;0.2;11.016
32;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;6;0.2;97.092
33;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6.858;6;0.7;-5.715
34;US-2019-150630;17/09/2019;21/09/2019;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15.76;2;0.2;3.546
35;CA-2021-107727;19/10/2021;23/10/2021;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29.472;3;0.2;99.468
36;CA-2020-117590;08/12/2020;10/12/2020;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1.097.544;7;0.2;1.234.737
37;CA-2020-117590;08/12/2020;10/12/2020;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190.92;5;0.6;-147.963
38;CA-2019-117415;27/12/2019;31/12/2019;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113.328;9;0.2;35.415
39;CA-2019-117415;27/12/2019;31/12/2019;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;5.323.992;3;0.32;-469.764
40;CA-2019-117415;27/12/2019;31/12/2019;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212.058;3;0.3;-15.147
41;CA-2019-117415;27/12/2019;31/12/2019;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371.168;4;0.2;417.564
42;CA-2021-120999;10/09/2021;15/09/2021;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147.168;4;0.2;165.564
43;CA-2020-101343;17/07/2020;22/07/2020;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77.88;2;0;3.894
44;CA-2021-139619;19/09/2021;23/09/2021;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95.616;2;0.2;95.616
45;CA-2020-118255;11/03/2020;13/03/2020;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45.98;2;0;197.714
46;CA-2020-118255;11/03/2020;13/03/2020;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17.46;2;0;82.062
47;CA-2018-146703;20/10/2018;25/10/2018;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211.96;4;0;84.784
48;CA-2020-169194;20/06/2020;25/06/2020;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0;4.95
49;CA-2020-169194;20/06/2020;25/06/2020;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21.8;2;0;6.104
50;CA-2019-115742;18/04/2019;22/04/2019;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38.22;6;0;179.634
51;CA-2019-115742;18/04/2019;22/04/2019;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75.18;6;0;353.346
52;CA-2019-115742;18/04/2019;22/04/2019;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;6.16;2;0;29.568
53;CA-2019-115742;18/04/2019;22/04/2019;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;89.99;1;0;170.981
54;CA-2020-105816;11/12/2020;17/12/2020;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15.26;7;0;62.566
55;CA-2020-105816;11/12/2020;17/12/2020;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029.95;5;0;2.986.855
56;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;208.56;6;0;52.14
57;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32.4;5;0;15.552
58;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319.41;5;0.1;7.098
59;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14.56;2;0;69.888
60;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2;0;3.3
61;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48.48;4;0.2;16.362
62;CA-2020-111682;17/06/2020;18/06/2020;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1.68;1;0;0.84
63;CA-2019-135545;24/11/2019;30/11/2019;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13.98;2;0;61.512
64;CA-2019-135545;24/11/2019;30/11/2019;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25.824;6;0.2;93.612
65;CA-2019-135545;24/11/2019;30/11/2019;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146.73;3;0;689.631
66;CA-2019-135545;24/11/2019;30/11/2019;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79.76;4;0;223.328
67;US-2019-164175;30/04/2019;05/05/2019;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213.115;5;0.3;-152.225
68;CA-2018-106376;05/12/2018;10/12/2018;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1.113.024;8;0.2;1.113.024
69;CA-2018-106376;05/12/2018;10/12/2018;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167.968;4;0.2;62.988
70;CA-2020-119823;04/06/2020;06/06/2020;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75.88;2;0;356.636
71;CA-2020-106075;18/09/2020;23/09/2020;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4.616;1;0.2;1.731
72;CA-2021-114440;14/09/2021;17/09/2021;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19.05;3;0;8.763
73;US-2019-134026;26/04/2019;02/05/2019;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;831.936;8;0.2;-1.143.912
74;US-2019-134026;26/04/2019;02/05/2019;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97.04;2;0.2;1.213
75;US-2019-134026;26/04/2019;02/05/2019;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72.784;1;0.2;-18.196
76;US-2021-118038;09/12/2021;11/12/2021;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1.248;3;0.8;-19.344
77;US-2021-118038;09/12/2021;11/12/2021;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9.708;3;0.6;-58.248
78;US-2021-118038;09/12/2021;11/12/2021;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27.24;3;0.2;2.724
79;US-2018-147606;26/11/2018;01/12/2018;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19.3;5;0.6;-14.475
80;CA-2020-127208;12/06/2020;15/06/2020;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208.16;1;0;562.032
81;CA-2020-127208;12/06/2020;15/06/2020;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16.74;3;0;80.352
82;CA-2018-139451;12/10/2018;16/10/2018;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14.9;5;0;4.172
83;CA-2018-139451;12/10/2018;16/10/2018;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21.39;1;0;62.031
84;CA-2019-149734;03/09/2019;08/09/2019;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200.984;7;0.2;628.075
85;US-2021-119662;13/11/2021;16/11/2021;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230.376;3;0.2;-489.549
86;CA-2021-140088;28/05/2021;30/05/2021;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301.96;2;0;332.156
87;CA-2021-155558;26/10/2021;02/11/2021;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19.99;1;0;67.966
88;CA-2021-155558;26/10/2021;02/11/2021;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;6.16;2;0;29.568
89;CA-2020-159695;05/04/2020;10/04/2020;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158.368;7;0.2;138.572
90;CA-2020-109806;17/09/2020;22/09/2020;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20.1;3;0;6.633
91;CA-2020-109806;17/09/2020;22/09/2020;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73.584;2;0.2;82.782
92;CA-2020-109806;17/09/2020;22/09/2020;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6.48;1;0;31.104
93;CA-2019-149587;31/01/2019;05/02/2019;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12.96;2;0;62.208
94;CA-2019-149587;31/01/2019;05/02/2019;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;FUR-FU-10003799;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53.34;3;0;165.354
95;CA-2019-149587;31/01/2019;05/02/2019;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;32.96;2;0;161.504
96;US-2021-109484;06/11/2021;12/11/2021;Standard Class;RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5.682;1;0.7;-3.788
97;CA-2021-161018;09/11/2021;11/11/2021;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96.53;7;0;405.426
98;CA-2021-157833;17/06/2021;20/06/2021;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51.312;3;0.2;179.592
99;CA-2020-149223;06/09/2020;11/09/2020;Standard Class;ER-13855;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77.88;6;0;225.852
100;CA-2020-158568;29/08/2020;02/09/2020;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64.624;7;0.2;226.184
101;CA-2020-158568;29/08/2020;02/09/2020;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95.976;3;0.2;-107.973
102;CA-2020-158568;29/08/2020;02/09/2020;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1.788;3;0.8;-30.396
103;CA-2020-129903;01/12/2020;04/12/2020;Second Class;GZ-14470;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23.92;4;0;117.208
104;US-2019-156867;13/11/2019;17/11/2019;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238.896;6;0.2;-268.758
105;US-2019-156867;13/11/2019;17/11/2019;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;FUR-FU-10004006;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102.36;3;0.2;-38.385
106;US-2019-156867;13/11/2019;17/11/2019;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;OFF-BI-10002794;Office Supplies;Binders;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36.882;3;0.7;-258.174
107;CA-2021-119004;23/11/2021;28/11/2021;Standard Class;JM-15250;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;TEC-AC-10003499;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74.112;8;0.2;176.016
108;CA-2021-119004;23/11/2021;28/11/2021;Standard Class;JM-15250;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;TEC-PH-10002844;Technology;Phones;Speck Products Candyshell Flip Case;27.992;1;0.2;20.994
109;CA-2021-119004;23/11/2021;28/11/2021;Standard Class;JM-15250;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;OFF-AR-10000390;Office Supplies;Art;Newell Chalk Holder;3.304;1;0.2;10.738
